Marilyn Monroe,Panqueque,Adherir,Graciosa,Mosaico
Pescador,Rango,Desperdiciar,Desván,Veleta
Siberia,Balero,Agarrar,Matinée,Cablevisión
Oveja,Pantuflas,Palpar de armas,Pesado,Terreno baldío
Bebé,Medias de nylon,Montar,Dulce,Feo
Pájaro,Etiqueta,Imitar,Matemáticas,Cielo raso
Carlos Gardel,Placa patente de perro,Domesticar,Resumen,Plato volador
Estómago,Leña,Acariciar,Traductor,Alambre de púas
Córdoba,Tubería,Alinear,Pecado,Pata de palo
Perro salchicha,Telaraña,Cornear,Detrás,Dominó
Elefante,Chaleco de fuerza,Morir,Tablero de juego,Vías férreas
Amígdalas,Mochila,Partir,Departamento,Obeso
Dinosaurio,Vincha,Apuntar,Uniforme,Lobotomía
Nariz,Hoz,Hilvanar,Gobierno,Agujero negro
Portero,Nudo,Especular,Torta de chocolate,Mitad
Monja,Alambre,Descongelar,Firma,Pegatina
Esposo,Cascabel,Sumar,Goma,Estalactita de hielo
Hombre,Traje de baño,Retirar,Cable telefónico,Señal de alto
Hipódromo,Ensalada,Debatir,Uso horario,Hoyuelo
Planta alta,Estante para libros,Dibujar,Garabato,Beso
San Luis,Escalera,Rasgar,Polen,Pico
Lazarillo,Felpudo,Ocupar,Tabla de planchar,Cubre tortas
Policía,Bandeja,Murmurar,Buen viaje,Velludo
Casa quinta,Anillo de diamantes,Lustrar,Pañuelo,Marea baja
Planeta Tierra,Disfraz,Beber,Centro de mesa,Pegamento
Sala de Recepción,Motor,Lijar,Chiquero,Apéndice
Cubierta,Disco,Plantar,Ananá,Ciclón
Canal de Panamá,Equipaje,Remar,Perejil,Punto
Pista de carreras,Bote de remos,Cantar,Delta,Enjuague bucal
Dedo índice,Honda,Latir,Tocadiscos,Platillo de batería
Punta del Este,Chupetín,Pensar,Cerca,Al revés
Lunar,Escopeta,Silbar,Cúpula,Saliva
Hawai,Valla,Enmarcar,Hamburguesa con queso,Maremoto
Garaje,Goma de borrar,Empacar,Cabaña,Teñido
Pulso,Hornalla,Construir,Vertical,Lleno
Ojo,Frambuesa,Explotar,Maquillaje,Tacho de basura
Ratón,Boleto,Erupción,Primera Guerra Mundial,Visera
Verruga,Estéreo,Descubrir,Escape,Código Morse
Cuarto de baño,Cenicero,Alterar,Tragar,Sirena de mar
Mano derecha,Reloj pulsera,Caer en picada,De pared a pared,Luna de miel
Pájaro carpintero,Tomacorriente,Desenvolver,Podrido,Cordero
Motel,Títere,Empujar,Pastelería,Espacio exterior
Machu Picchu,Letrero,Destapar,Señalador de libro,Aljibe
Tierra del Fuego,Muelle,Cortar,Bosquejo,Encuesta
Conductor,Plato,Ondular,Tenis,Barco
Loro,Camiseta,Agrupar,Cuerdas vocales,Concierto
Progenitor,Azadón,Secuestrar,Línea de partida,Lentejuelas
Perro,Bolsillo,Babear,Caño de escape,Derrumbe
Autocine,Enredadera,Roer,Cáscara de banana,Bombos
Polo Sur,Toilette,Comer,Gema,Seis en punto
Oeste,Gradas,Trasplantar,Pulgada,Funeral
Océano Pacífico,Máquina de escribir,Nadar,Corderoy,Bocina
Capital Federal,Rompecabezas,Evaporar,Presión sanguínea,Guerra
Compañero de cuarto,Encendedor,Surfing,Pronunciar,Tripulación
Sapo,Altavoz,Emboscar,Pictionary,Feria americana
Tortuga,Trineo,Entrar,Bala de cañón,Bidet
Alemania Occidental,Tambor,Regar,*Cocinero,Oso hormiguero
Suiza,Globo,Izar,Fiebre amarilla,Guión
Misiones,Cerradura,Emparejar,Bolsa de valores,Organillero
Establo,Neumáticos,Sangrar,Niñera,Insecto
Penthouse,Sierra eléctrica,Derrotar,Rodilleras,Cabina de teléfono
Canguro,Lápiz de cejas,Relampaguear,Autopsia,Apretón de manos
Dientes,Taxi,Golf,Campanario,Pintura de guerra
Nieta,Red de seguridad,Triturar,Jarra,Fracaso
Cejas,Sales aromáticas,Tostar,Miedo,Rico
Torero,Álbum,Visitar,Refugio,Diez en punto
Pato Donald,Píldora,Robar,Comedia,Arte
Flamenco,Puerta,Arder,Tormenta de arena,Yate
Manicura,Cactus,Transpirar,Pimienta,Carpa india
Zorro,Sacacorchos,Entrevistar,Primera página,Tacos altos
Oficial,Patín de hielo,Madurar,Carrera de obstáculos,Alcatraz
Rambo,Pantalla,Freír,Disposición,Cruz roja
Rinoceronte,Carpa,Estirar,Templo,Robot
Piel de animal,Balanza,Asar,Despegar,Túnel
Leopardo,Arbustos,Oponer,Malo,Falsificación
Dentista,Alhajas,Superar,Papelera,Tostadora
California,Yunta,Ladrar,Año,Escalones
Mujer barbuda,Piano,Empaquetar,Infracción,Contaminación
Langosta,Adorno,Rotar,Geografía,Locomotora
Perro ovejero,Biombo,Aburrir,Geometría,Impar
Panteón,Barras paralelas,Esculpir,Monóculo,Llave
Azafata,Almendra,Preparar,Bolsa de plástico,Lazo
Cancha de fútbol,Secarropas,Resbalar,Minutero,Estatua de la Libertad
Menor de edad,Estribo,Presentar,Asiento deportivo,Tempestad
Mapuche,Árbol,Encender,Pasaporte,Litera
Lagarto,Portaligas,Pastar,Pista de aterrizaje,Paz
Prado,Gorra de baño,Fumar,Sinusitis,Matafuegos
Árbitro,Bomba de tiempo,Frotar,Barrera,Perpendicular
Lagartija,Kayak,Animar,Fonógrafo,Topadora
Mucama,Gancho,Escuchar,Góndola,Arco de fútbol
Convicto,Nuez,Escalar,Pantalla de humo,Permanente
Nuez de Adán,Skate,Solfear,Tetera,Retoque
Lago,Escalera de caracol,Enjuagar,Marfil,Smoking
Guarida,Correa,Desviar,Denso,Aguacero
Dictador,Diván,Apostar,Picante,Apagado
Comisaría,Abanico,Decorar,Sartén,Día de campo
Torpe,Compactadora,Bordear,Barato,Garfio
Pato,Pera,Afeitar,Guerra civil,Cerbatana
Pagoda,Alfombra,Vendar,Diagrama,Dos
Pueblo,Lata de aceite,Batear,Ninguno,Amanecer
Estanciero,Martillo,Palanquear,Mejor,Panzada
Lobo,Contenedor,Picotear,Caravana,Palanca de cambios
Úlcera,Chinche,Espumar,Daga,Tobillera
Lombriz,Gota,Arañar,Corriente eléctrica,Grande
Calle Florida,Trípode,Restar,Dirección,Micrófono
Júpiter,Hacha,Desatar,Pobreza,Computadora
El Chocón,Pañal,Fruncir,Media hora,Talón
Estrella de mar,Valijas,Sintonizar,Tapón,Jabalina
Esquiador,Cartel,Bostezar,Bailarina,Desodorante
Moscardón,Hélice,Erosionar,Vicio,Palma
Naciones Unidas (ONU),Buzón,Emparchar,Faro de automóvil,Naftalina
Colegio,Lente,Escribir,Jeans,Rubio
Africano,Camión,Ahorcar,Mirador,Coraza
Doctor,Césped,Gotear,Gorra,Coro
Perro guardián,Semilla,Tango,Infinito,Doblado
Oso,Juguete,Tirar,Furgón,Viejo
Estrecho de Magallanes,Guante,Emigrar,Puntual,Buey
Granjero,Teléfono público,Inyectar,Pierna rota,Cajonera
Pavo real,Frutilla,Doblar,Cuento,Trampolín
Estación de subterráneo,Percha,Adornar,Radiación,Puente
Cupido,Campera,Agacharse,Alma,Mejilla
Mandíbula,Pelota de fútbol,Desertar,Cristal,Esquiar
Sardina,Ventilador,Revocar,Bola de billar,Cirugía plástica
Rabino,Arpa,Sonrojarse,Caja de cartón,Gotas para ojos
Continente,Sombrero de paja,Desaparecer,Fin,Costa atlántica
Antebrazo,Escarbadientes,Acolchonar,Prueba de ruidos,Transportador
Cataratas del Iguazú,Tijeras,Apoyar,Vara,Baranda
Búfalo,Lentes de contacto,Dar propina,Sumergir,Muñeco de nieve
Ciudad,Foto,Mover,Bolsa de papel,Palillos de batería
Unión Soviética,Posavasos,Hurgar,Impresión,Picar
Casa,Fuente,Recibir,Reloj digital,Pepita de oro
Mecánico,Rifle,Inclinar,Manteca,Borde
Padrastro,Sobretodo,Anunciar,Apagón,Terraza
Jirafa,Rueda,Voltear,Sí,Cielo
Padre,Sillón,Pedalear,Utilidad,Agua
Novia,Cercado,Graficar,Muchos,Gente
Finlandia,Dirigible,Falsificar,Bolitas,Lámpara de sol
Museo,Lámina,Arrastrar,Indígena,Orilla
Nudillo,Engranaje,Bombardear,Historieta,Traje a rayas
Cangrejo,Hamaca,Minar,Señal de humo,En el aire
Jaguar,Caballete de pintor,Llamar,Paella,Río
Piloto,Boquilla,Hacer dedo,Sauna,Pequeño
Eslabón perdido,Blusa,Calentar,Creciente,Izquierda
Minero,Piedra,Forrar,Prolongador,Cadera
Playboy,Lata de sardinas,Conducir,Vals,Audífono
Egipto,Clips para papeles,Tejer,Novela,Jaula de loros
Regazo,Caña de pescar,Ojear,Lenguaje,Ceniza
Papá,Libro,Romper,Ortodoxo,Tótem
Cuerpo,Sofá,Rechazar,Conducto,Esfera
Gran Bretaña,Podadora,Linchar,Ejército,Poco
Cuartel de bomberos,Banana,Invertir,Básquet,Alrededor
Canadá,Lima de uñas,Ayudar,Asteroide,Olla
Húmero,Cama de agua,Batir,Torbellino,Tiza
Río de la Plata,Lija,Abrazar,Dedo anular,Pirata
Dentadura postiza,Cubo,Torpedear,Fragancia,Pelotón
Papada,Televisor color,Modelar,Mural,Vecindario
Barba,Caramelo,Reír,Hilo,Oído
Batman,Parrilla,Perder,Radioaficionado,Mantel individual
Cuarto de juegos,Botas,Rodar,Yegua,Mímica
Israel,Sandía,Programar,Fantasma,Mente
Cementerio,Jet,Bañar,Adormecido,Lodo
China,Media luna,Estrangular,Cajita de fósforos,Primo
Refugio antiaéreo,Helicóptero,Resonar,Rabia,Autopista
Hormiga,Calabaza,Borrar,Tienda,Osa Mayor
Casa Rosada,Calendario,Hervir,Kilómetro,Cuerda para saltar
Luciérnaga,Resortes,Ventilar,Espátula,Tren
Rancho,Solapa,Enrular,Extranjero,Tope de puerta
Chile,Muñeca,Derramar,Escenario,Canción
Tigre,Trenza,Desafiar,Llave maestra,Alerones
Castor,Vela,Afligirse,Alpiste,Caspa
Italia,Mapamundi,Frenar,Biblia,Desierto del Sahara
Cabra,Rayo de bicicleta,Mojar,Pinza de depilar,Dragón
Francia,Lápiz,Galopar,Ruleta,Estaca
Abuelo,Cucharita,Subir,Fila india,Fuego
Galaxia,Colchón,Oscurecer,Navidad,Noche
Pez dorado,Muñeca de trapo,Torneo,Frontera,Áspero
Nueva York,Cuenta,Asegurar,Cama matrimonial,Cafetera
Cuadra,Piñata,Aterrizaje d. emergencia,Mirada,Molino de viento
Hollywood,Peluca,Toparse,Cápsula,Capucha
Hipopótamo,Fósil,Abrochar,Continuar,Empinado
Oficina,Diamantes,Palpitar,Inmenso,Automóvil
Avispón,Queso,Esposar,Lavarropa,Murciélago
Brasil,Cebolla,Hundir,Arena,Cereza
Cantante,Chal,Pisar,Dos por cuatro,Dados
América Central,Dardos,Pavimentar,Estufa,Prisión
Mezquita,Tatuaje,Enchufar,Separación,Glaciar
Pez espada,Remedio,Acercar,Libertad bajo fianza,Muletas
Príncipe,Canasta,Embolsar,Unánime,Servicio de mensajería
Hogar,Mantel,Sentarse,Puerta trasera,Paraíso
Cráneo,Objetivo,Archivar,Receta médica,Rueda de auxilio
Terminal de ómnibus,Estatua,Soñar,Convexo,Instrumento
Hall,Destornillador,Pescar,Aflojar,Volcán
Miami,Bolsa de arena,Cebar,Tracción,Alicates
Caballo,Manguera,Agujerear,Inflación,Sombra
Estadio,Hiedra,Marchar,Sermón,Pata de rana
Ballena,Cinturón,Decolorar,Almuerzo,Termómetro
Mercado,Banco,Cultivar,Bolsa de dormir,Entumecido
Zorzal,Matamoscas,Aclarar,Dos puntos,Raya
Aleta de pez,Bicicleta,Destilar,Límite de velocidad,Profundo
Presidente,Sombrero de copa,Peinar,Riendas,Torre Eiffel
Cachorro,Bikini,Saltar del trampolín,Ruidoso,Nuclear
Abeja,Encaje,Cabalgar,Pancarta,Corte de cabello
Colmillo,Clavel,Planear,Despegue,Curva
Granero,Barrilete,Machacar,Regla de cálculo,Balcón
Tarántula,Churros,Seguir,Filtro solar,Persona
Músculo,Armario,Empastar,Caminata espacial,Faquir
Carpintero,Silla reclinable,Secar,Millón,Rociar
Lengua,Charango,Pinchar,En venta,Lealtad
Roma,Eje,Contaminar,Relleno,Portátil
Basurero,Salto de cama,Surcar,Toallero,Aurora boreal
Mundo,Afeitadora,Medir,Sonámbulo,Piernas cruzadas
Taiwán,Pollera,Llorar,Frente al lago,Corto
Reno,Banda,Atascar,Diámetro,Control remoto
Pie,Caja de sorpresas,Vocear,Botella de cerveza,Tormenta de nieve
Faraón,Gaseosa,Roncar,Plata,Pista de esquí
Moscú,Cinta,Cacarear,Interior,Rodilla
Corazón,Parlante,Interceptar,Tiroteo,Pirámide
Bigote,Radio,Dividir,Manecilla de reloj,Pimpollo
Babosa,Tarjeta de crédito,Empapar,Maratón,Calvo
Pulga,Bumerang,Deslumbrar,Resfrío,Toalla
Polo Norte,Semáforo,Trasbordar,Nostalgia,Piso
Barriga,Patines,Masajear,Caja de zapatos,Hongo
Delfín,Señuelo,Rastrillar,Lastre,Religión
Monstruo,Aire acondicionado,Evadir,Hueco,Chaucha
Hija,Prismáticos,Inundar,Triple,Lamparita
Tucumán,Silla de ruedas,Centrar,Año bisiesto,Trébol
Jardín de infantes,Cereal,Desabrochar,Solo,Dolor
Monte Everest,Malla de reloj,Invernar,Esmeralda,Alegría
Campamento,Bastón,Pelear,Telesilla,Cara
Marinero,Reflector,Salto de garrocha,Inconsciente,Selva
Madrina de boda,Marcapasos,Deportar,Mesa de juegos,Triste
Atleta,Lanzallamas,Amordazar,Enojado,Champaña
Morsa,Muñeca de papel,Tener hipo,Alfalfa,Agudo
Suegro,Aspiradora,Herir,Algodón de azúcar,Nieto
Soldado,Aguja,Inspeccionar,Festival,Cassette
Cárcel,Perilla,Cubrir,Vino tinto,Tarjeta postal
Hippie,Guardabarros,Cepillar,Orejas de burro,Pies
Río de Janeiro,Alcantarilla,Lanzar,Revuelto,Cueva
Argentina,Espada,Colocar,Gris,Cíclope
Conejo,Cuchara de sopa,Apresar,Calzoncillos,Momia
Codo,Báscula,Caída libre,Bailar,Tapa
Galería de arte,Gota de lluvia,Oscilar,Escritura,Pararrayos
Rodeo,Remolcador,Soñar despierto,Ánimo,Ametralladora
Nicaragua,Escoba,Excavar,Bañadera,Barricada
Rockero,Respirador,Moler,Evolución,Reloj de arena
Shopping Center,Reel,Golpear,Inalámbrico,Mercedes Sosa
Iglesia,Delantal,Pegar,Salvaje,Sumergible
Sistema solar,Caja fuerte,Guiñar,Entero,Buen mozo
Suecia,Motocicleta,Conquistar,Balbucear,Mano
Águila,Velero,Enfurecer,Registro,Valle
Payaso,Muérdago,Alzar,Tibio,Loma de Burro
Groenlandia,Carretilla,Liberar,Lavanda,Balde
Vampiro,Velo,Llover,Chofer,Invernadero
Brazo,Escuadra,Orbitar,Bizco,Montaña
Alemania,Uva,Nivelar,Hábito,Tallarines
Rana,Silo,Tramar,Coliflor,Reflejo
Los Andes,Ancla,Planchar,Envoltura de regalo,Rectángulo
Medio Oriente,Galletita,Regalar,Salud,Colilla
Tiburón,Flauta,Arrojar,Caldera,Submarino
Potro,Zapato,Señalar,Sacudida,Aire
Hermana,Iglú,Morder,Elástico,Vagón de cola
Dama,Violín,Invadir,Grupo,Abuela
Alf,Remera,Oler,Huevos con panceta,Tenedor
Autódromo,Candado,Aspirar,Diario,Tren de aterrizaje
Rusia,Parche de ojo,Paracaidismo,Corazón roto,Tragamonedas
Calamar,Rayo láser,Escarbar,Mostaza,Bucear
Ballena asesina,Servilleta,Arrimar,Reflejar,Oscuro
París,Silla,Parar,Estallar,Nublado
Capital,Bolsita para mareo,Rellenar,Cheque de viajero,Barbita de chivo
Cerebro,Empanada,Amar,Reclinar,Pelota de playa
Ardilla,Carta,Plástico,Desfilar,Lágrima
Venus,Hilo de coser,Posar,Lavandería,Rueda de carreta
India,Esmalte de uñas,Aullar,Trinchera,Cañón
Isla de Pascua,Minifalda,Acertar,Cancha de bochas,Ombligo
Osa menor,Letrero luminoso,Atraer,Bermudas,Escalofríos
Esqueleto,Gong,Aplastar,Sequía,Ojo morado
Peregrino,Insecticida,Caminar,Eclipse,Palitos chinos
Gatito,Pesa,Agitar,Taller mecánico,Acierto
Tokio,Rallador de queso,Demoler,Campeonato mundial,Luz negra
Hincha,Arca de Noé,Manchar,Música,Pobre
Molar,Reloj despertador,Servir,Albóndiga,Copa de vino
San Bernardo,Escudo,Hacer,Poema,Sonajero
Patio,Zanahoria,Citar,Mateo,Collar de perlas
Cucha de perro,Reja,Desgarrar,Frasco,Redondo
Planta baja,Palanca,Fracturar,Promedio,Moño
Dedo,Tazón,Afilar,Paloma,Escoltar
Oruga,Caja,Fingir,Zafiro,Victoria
Yeti,Rayos X,Divorciar,Quiosco de diarios,Fosa nasal
Burro,Monopatín,Cocinar,Mula,Poste
Hotel,Condecoración,Tapizar,Sauce,Jurado
Arroyo,Pelota de béisbol,Preguntar,Ventoso,Titanic
Médico brujo,Boya,Envolver,Rizos,Braille
Cigüeña,Limón,Levantar,Fiesta,Faro
Chita,Sábana,Esparcir,Defensa,Porcentaje
Gato,Centavos,Atacar,Infeliz,Nave espacial
Hombro,Cinturón de seguridad,Mirar,Plaqueta,Castillo
Boca,Plancha,Sospechar,Silencio,Atajo
Placard,Balizas,Eludir,Angosto,Papá Noel
Pantano,Cruz,Controlar,Cornisa,Tronco
Pulpo,Pétalo,Oír,Poro,Fondue
Asunción del Paraguay,Pochoclo,Bombear,Tentáculo,Corcho
Cleopatra,Sombrilla,Atar,Diminuto,Puerta giratoria
Madrid,Corona,Amotinarse,Fuerza,Salvavidas
País,Hamburguesa,Atragantarse,Altiplano,Laringitis
Living,Masita,Cicatrizar,Medallón,Costillas
Boy Scout,Maniquí,Arrullar,Lunes,Reloj de sol
Papagayo,Manopla,Ganar,Gato de Angora,Irritación
Aldea,Mosquitero,Arrancar,Agua hirviendo,Garrapata
Trillizos,Cuerda,Volear,Compartir,Herradura
Subterráneo,Tiradores,Amortiguar,Leñador,Ciego
Cocodrilo,Esquís,Atracar,Colmena,Bengala
Londres,Bola de cristal,Anotar,Migaja,Boda
Mosca,Cinta adhesiva,Unir,Waterpolo,Arriero
Pulgar,Bala,Repetir,Guía telefónica,Hijo
Víbora,Ventana,Consumir,Mancha,Cohete
Mona Lisa,Tabla de surf,Probar,Bujías,Dinero
Oso polar,Taza,Arponear,Regordete,Camarote
Mono,Árbol de Navidad,Arreglar las uñas,Pelotón de fusilamiento,Contagioso
Vaca,Pasamanos,Multiplicar,Neumático radial,Luz de vela
*Cabildo de Buenos Aires,Tortilla,Vestir,Relato,Venus de Milo
Napoleón,Granada,Fluir,Oxidado,Alfiler de gancho
Estanque,Mapa de rutas,Puñetazo,Algodón,Descalzo
Costa Azul,Cinta transportadora,Congelar,Conversación,Corral
Hijastra,Fotocopiadora,Pellizcar,Ferrocarril,Dolor de estómago
Avenida,Muebles,Vista,Consultorio,Mujer
Nerón,Candelabro,Temblar,Pan dulce,Marte
Serpiente cascabel,Foco,Pintar,Correr,Donde
Descendiente,Chimenea,Embalar,Nuevo,Lápiz labial
Las Vegas,Poste de teléfono,Mezclar,Joven,Terremoto
General San Martín,Girasol,Cerrar,Salsa,Radiograbador
Canario,Pluma,Cosechar,Cortinero,Isla
Perrera,Tornillo,Remachar,Helado,Diagonal
Ecuador,Bolsa descartable,Broncear,Ejercicio,Bisagra
Cirujano,Placa policial,Vigilar,Germen,Parado de manos
Pelícano,Borla,Retorcer,Flaco,Salida de baño
Alain Delon,Pastel,Ensuciar,Fogata,Nordeste
Riachuelo,Corbata,Enviar por correo,Vocal,Carretel
Barrio,Ropa,Amenazar,Siesta,Ancho
Coyote,Ladrillo,Gruñir,Cabeza de ciervo,Almeja
Búho,Tractor,Abalanzarse,Best seller,Charco
Dolor de cabeza,Sombrero,Imprimir,Papel,Estallido
Norteamericana,Pala,Prohibir,Nervio,Rotación
Peste,Caja de herramientas,Alternar,Braza,Premio
Mayordomo,Aro,Comprar,Caños,Bomba de agua
Cartero,Trombón,Coser,Bife,Buzo
Cebra,Poroto,Gastar,Bien formado,Trueno
Alpes,Timbre,Tomar sol,Tú,Bajo
Luna,Témpano,Gritar,Bombardeo aéreo,Patillas
Cuba,Cuaderno,Encerrar,Poliéster,Cabaret
Sótano,Timón,Ampliar,Revistero,Trasatlántico
Taberna,Silla alta,Perforar,Rascacielos,Arco iris
Antártida,Meteoro,Alentar,Equipo,Cinturón negro
Popeye,Cordón de zapato,Ajustar,Jueves,Peluquería
Oasis,Fruta,Humear,Adivinar,Fiebre
Comisario,Bola de nieve,Reprobar,Parada de ómnibus,Nieve
Mariposa,Caja de bombones,Volcar,Botas de goma,Peluquero
Siameses,Prisma,Numerar,Carnaval,Figura de madera
Fangio,Casco,Sujetar,Ocupado,Comillas
Galería,Fuente de agua,Recortar,Haragán,Vereda
Capilla,Cigarrillo,Azotar,*Lámpara de pie,Géiser
Gladiador,Aplanadora,Malabarista,Castigado,Idea
Antena,Biplano,Grabar,Abrochadora,Cotillón
Pavo,Teléfono,Dormir,Minuto,Perfil
Alto,Carbón,Curar,Adivino,Mordedura de víbora
Aconcagua,Palo,Cazar,Puesta de sol,Piscina
África,Espejo,Tocar,Arriba,Hierba
Uña del pie,Lámpara,Irrigar,Tapa de botella,Capa
Polilla,Proyectil,Amontonar,Huevo duro,Minigolf
Pez volador,Guirnalda,Serruchar,Frío,Cuadro
Bahía,Salchicha,Abofetear,Celda,Sable
Bisonte,Yo-yo,Aumentar,Disparo,Labio
Francotirador,Pipa,Marchitar,Sollozo,Espejismo
Simio,Naranja,Trepar,Oriental,Cachemira
Zeus,Florero,Aletear,Zapatear,Irritar
Anchoa,Cierre,Sembrar,Panadería,Avenida 9 de Julio
Suegra,Abrigo de visón,Desgastar,Camioneta,Pajar
Zorrino,Factura,Copiar,Silla eléctrica,Ostra
Renacuajo,Trampa para ratas,Completar,Vanidoso,Nueve
Apache,Asiento de coche,Navegar en balsa,Apilar,Suburbio
Caballero,Urna,Forjar,De lado,Carrera de caballos
América,Tapiz,Navegar,Cámara lenta,Ubre
Costa,Compartimiento,Escupir,Traje de etiqueta,Comodín
Cataratas del Niágara,Billetera,Azar,Cemento,Gorila
Catedral,Armadura,Girar,Tonelada,Óvalo
Ciempiés,Orejera,Amputar,Reportero,Bache
Pelo,Diapasón,Patear,Cabeza dura,Estrella fugaz
Chimpancé,Rosa,Capturar,Margarita,Cochera
Choza,Ciruela,Chillar,Principal,Camarero
Mar del Plata,Casillero,Catapultar,Coctelera,Primavera
Washington,Periscopio,Votar,Agenda telefónica,Puercoespín
Las Cuevas,Dólar,Lloviznar,Pasaje,Positivo
Correo,Violonchelo,Centellear,Delgado,Flecha
Casa flotante,Bandoneón,Lastimar,Párrafo,Tanque
Alaska,Canal,Vociferar,Físico,Máscara de oxígeno
Ala,Freezer,Lavar el cerebro,Hoja de parra,Blanco
Pablo Neruda,Comida,Rodear,Obstáculo,Astronauta
Juan Perón,Maní,Ahogar,Demente,Laberinto
Gemelo,Cuarto,Hablar,Apretado,Viento
Cobra,Cencerro,Cargar,Cable de alta tensión,Catástrofe aérea
Estado,Reloj de pared,Rugir,Nervioso,Matrimonio
Teatro,Muñequera,Perseguir,Corteza,Collage
Este,Pistola,Soldar,Jugo,Huevo de Pascua
Girl Scout,Zoquetes,Clavar,Farmacia,Cola de caballo
Caracol,Tiro de chimenea,Encorvar,Rápidos,Zodíaco
Tío,Trofeo,Llenar,Cepo,Mediodía
Esquimal,Granizo,Rebotar,Balón de cerveza,Quemadura
Bowling,Faja,Carrera,Piel de oso,Callejón
Colina,Identificación,Desobedecer,Último,Amnesia
Camello,Lanza,Manejar,Cirugía,Espina
Selva Negra,Vidrio,Recordar,Joya,Rayo
Los Tres Chiflados,Taza de café,Disparar,Agente de seguridad,Título universitario
Biblioteca,Fuegos artificiales,Fotografiar,Herrero,Bolo
Montañas Rocosas,Guardacostas,Palmear,Código postal,Tobogán
Pecho,Nido,Respirar,Afuera,Boxeando
Ornamenta,Pulsera,Arco,Ping-pong,Pared
Ave de corral,Compact Disc,Segar,Taxidermia,Gorro de dormir
Masajista,Termostato,Convertir,Gol,Raíz
Billar,Coral,Molestar,Tétano,Lava
Cruz del Sur,Montura,Marcar,Frágil,Parte
Ojos pequeños,Pincel,Chupar,Vagón de tren,Grueso
Escuela,Horno,Torcer,Conmoción,Espectro
Cristóbal Colón,Palo de golf,Barrer,Desenredar,Pasto
Planeta,Asiento de expulsión,Conectar,Viuda,Caballo de Troya
Paracaidista,Varilla,Contestar,Voleibol,Silueta
Inglaterra,Manzana,Inhalar,Pasado,Corpiño
Peca,Papel higiénico,Juntar,Área,Espuelas
Rótula,Silenciador,Rajar,Chino,Negro
Raya del pelo,Espantapájaros,Desenrollar,Brazo roto,Olor
Vena,Guillotina,Alucinar,Agua salada,Llovizna
Sudamérica,Teja,Pasar,Turbulencia,Machete
Hombre lobo,Turbante,Sonreír,Longitud,Big-Ben
Sacerdote,Campana,Arreglar,Equitación,Cucurucho de helado
Muela,Calzoncillos largos,Sostener,Tomate,Claro de luna
Discoteca,Mocasín,Elevar,Gas lacrimógeno,Tercero
Hermano,Navaja,Derretir,Centímetro cuadrado,Ascensor
Cintura,Cuna,Asfixiar,Segundo piso,Patinaje sobre hielo
